Reporter,Partner,Value
India,Bangladesh,6792304.26
India,Nepal,1436706.3
India,Indonesia,1292766.1
India,United Arab Emirates,1267858.9
India,Sri Lanka,812877.5700000001
Türkiye,Iraq,750630.12
Türkiye,Syrian Arab Republic,202658.77000000002
Türkiye,Lebanon,51029.25
Türkiye,United Arab Emirates,34000.35
Türkiye,Republic of Korea,30300.36
